PARAM1_STR,PARAM1_NUM,CATEGORY,PARAM2_STR,PARAM2_NUM,ORDER_NUM,VALID_FLG,COMMENTS
,92,"SUBJECT_ID_TO_PID","b64865",,1,"Y",
,93,"SUBJECT_ID_TO_PID","b83744",,1,"Y",
,94,"SUBJECT_ID_TO_PID","b80732",,1,"Y",
,94,"SUBJECT_ID_TO_PID","b81415",,2,"Y",
,95,"SUBJECT_ID_TO_PID","b63774",,1,"Y",
,96,"SUBJECT_ID_TO_PID","b75757",,1,"Y",
,97,"SUBJECT_ID_TO_PID","b68340",,1,"Y",
,98,"SUBJECT_ID_TO_PID","b61589",,1,"Y",
,99,"SUBJECT_ID_TO_PID","b70466",,1,"Y",
,100,"SUBJECT_ID_TO_PID","b76755",,1,"Y",
,101,"SUBJECT_ID_TO_PID","b72087",,1,"Y",
,102,"SUBJECT_ID_TO_PID","b70757",,1,"Y",
,103,"SUBJECT_ID_TO_PID","b63305",,1,"Y",
,104,"SUBJECT_ID_TO_PID","b78634",,1,"Y",
,105,"SUBJECT_ID_TO_PID","b88536",,1,"Y",
,106,"SUBJECT_ID_TO_PID","b80302",,1,"Y",
,107,"SUBJECT_ID_TO_PID","b76451",,1,"Y",
,108,"SUBJECT_ID_TO_PID","b67686",,1,"Y",
,109,"SUBJECT_ID_TO_PID","b61999",,1,"Y",
,109,"SUBJECT_ID_TO_PID","b60718",,2,"Y",
,109,"SUBJECT_ID_TO_PID","b87100",,3,"Y",
,109,"SUBJECT_ID_TO_PID","b83728",,4,"Y",
,110,"SUBJECT_ID_TO_PID","b80954",,1,"Y",
,111,"SUBJECT_ID_TO_PID","b89457",,1,"Y",
,112,"SUBJECT_ID_TO_PID","b60827",,1,"Y",
,112,"SUBJECT_ID_TO_PID","b87263",,2,"Y",
,113,"SUBJECT_ID_TO_PID","b75538",,1,"Y",
,114,"SUBJECT_ID_TO_PID","b65420",,1,"Y",
,115,"SUBJECT_ID_TO_PID","b89682",,1,"Y",
,116,"SUBJECT_ID_TO_PID","b70908",,1,"Y",
,117,"SUBJECT_ID_TO_PID","b67249",,2,"Y",
,117,"SUBJECT_ID_TO_PID","b67308",,1,"Y",
,118,"SUBJECT_ID_TO_PID","b87597",,1,"Y",
,119,"SUBJECT_ID_TO_PID","b74806",,1,"Y",
,120,"SUBJECT_ID_TO_PID","b61730",,1,"Y",
,121,"SUBJECT_ID_TO_PID","b73599",,1,"Y",
,122,"SUBJECT_ID_TO_PID","b85435",,1,"Y",
,123,"SUBJECT_ID_TO_PID","b65357",,1,"Y",
,124,"SUBJECT_ID_TO_PID","b76203",,2,"Y",
,124,"SUBJECT_ID_TO_PID","b71938",,1,"Y",
,125,"SUBJECT_ID_TO_PID","b79346",,1,"Y",
,126,"SUBJECT_ID_TO_PID","b82179",,1,"Y",
,127,"SUBJECT_ID_TO_PID","b68288",,1,"Y",
,128,"SUBJECT_ID_TO_PID","b80549",,1,"Y",
,129,"SUBJECT_ID_TO_PID","b84879",,1,"Y",
,130,"SUBJECT_ID_TO_PID","b75253",,1,"Y",
,131,"SUBJECT_ID_TO_PID","b87266",,1,"Y",
